Plot.id,Species,Status,DBH,Crown Class,Height,Age,Code,Comments
H18P6,Sx,Live,39.3,3,25.6,59,H18P6SIT1,OutSIT1
H18P6,Ep,Live,33,4,,,,
H18P6,Sx,Live,20.6,3,,,,
H18P6,Sx,Live,37.7,3,,,,
H18P6,Ep,Live,30.2,4,,,,
H18P6,Ep,Live,27,4,,,,
H18P6,Ep,Live,18.6,4,,,,
H18P6,Bl,Live,13.6,4,,,,
H18P6,Sx,Live,24.6,4,,,,
H18P6,Sx,Live,28.2,4,,,,
H18P6,Sx,Live,9.4,4,,,,
H18P6,Bl,Live,38.9,4,,,,
H18P6,Sx,Live,25.4,4,,,,
H18P6,Ep,Live,24.8,3,,,,
H18P6,Bl,Dead,10.1,1,,,,
H18P6,Ac,Live,52.6,4,,,,
H18P6,Ac,Live,38.2,4,,,,
H18P6,Ac,Live,39.9,4,,,,
H18P6,Bl,Live,49.9,3,,,,
H18P6,Sx,Live,20.8,4,,,,
