Plot.id,Species,Status,DBH,Crown Class,Height,Age,Code,Comments
H2P6,Sx,Live,43.7,4,34.7,155,H2P6SIT1,Out. H2P6SIT1
H2P6,Bl,Live,19.7,4,,,,
H2P6,Bl,Live,14.3,4,,,,
H2P6,Bl,Dead,10.4,1,,,,
H2P6,Bl,Live,8.2,3,,,,
H2P6,Sx,Live,9.4,4,,,,
H2P6,Bl,Live,12.4,3,,,,
H2P6,Sx,Live,17,4,,,,
H2P6,Bl,Live,18.5,4,,,,
H2P6,Sx,Dead,39.6,1,,,,Broken top at 3.5m
H2P6,Bl,Live,14.2,4,,,,
H2P6,Sx,Live,12.5,4,,,,
H2P6,Bl,Live,18.9,4,,,,
H2P6,Bl,Live,10.5,3,,,,
H2P6,Bl,Live,18,3,,,,
H2P6,Bl,Live,19.6,4,,,,
H2P6,Bl,Live,7.9,4,,,,
H2P6,Sx,Live,15.8,4,,,,
H2P6,Bl,Live,13,1,,,,
H2P6,Bl,Live,21.5,4,,,,
H2P6,Bl,Live,8,2,,,,
H2P6,Bl,Live,8.2,4,,,,
H2P6,Bl,Live,9,4,,,,
H2P6,Bl,Live,37.9,4,,,,
H2P6,Bl,Live,11.3,3,,,,
H2P6,Bl,Live,10.1,2,,,,
H2P6,Bl,Live,15.7,4,,,,
H2P6,Bl,Live,7.5,2,,,,
H2P6,Sx,Live,14.2,4,,,,
H2P6,Bl,Live,14.5,3,,,,
H2P6,Bl,Live,12.4,3,,,,
H2P6,Bl,Live,20,3,,,,
H2P6,Sx,Live,33.3,2,,,,"Alive, but broken top at 15m"
H2P6,Bl,Live,11.6,3,,,,
H2P6,Bl,Live,15.7,4,,,,
H2P6,Bl,Live,15,4,,,,
H2P6,Bl,Live,12.9,3,,,,
H2P6,Sx,Live,48.2,4,,,,
H2P6,Bl,Live,10.2,4,,,,
H2P6,Bl,Live,15.8,4,,,,
H2P6,Bl,Live,10.4,4,,,,
H2P6,Bl,Live,11.3,4,,,,
H2P6,Bl,Live,18.5,4,,,,
H2P6,Bl,Live,17.3,4,,,,
H2P6,Bl,Live,18,4,,,,
H2P6,Bl,Dead,13.7,1,,,,Broken top at 6m
