Plot.id,Species,Status,DBH,Crown Class,Height,Age,Code,Comments
H12P1,Sx,Live,31.8,4,28.4,38,H12P1SIT1,H12P1SIT1. Out
H12P1,Sx,Live,31.5,4,,,,
H12P1,Bl,Live,17.1,4,,,,
H12P1,Sx,Live,20,4,,,,
H12P1,Bl,Live,9.9,3,,,,
H12P1,Bl,Dead,8.7,1,,,,Broken top 5m
H12P1,Bl,Live,9.1,3,,,,
H12P1,Bl,Live,8.3,4,,,,
H12P1,Sx,Dead,15.6,1,,,,Broken top 6m
H12P1,Sx,Live,24.6,4,,,,
H12P1,Bl,Dead,9.6,1,,,,Broken top 7m
H12P1,Bl,Live,7.7,4,,,,
H12P1,Sx,Live,21,4,,,,
H12P1,Sx,Live,8.6,4,,,,
H12P1,Sx,Live,27.5,4,,,,
H12P1,Sx,Live,12.7,3,,,,
H12P1,Bl,Dead,32.4,1,,,,
H12P1,Ep,Live,17.4,4,,,,
H12P1,Bl,Live,42.6,4,,,,
H12P1,At,Live,17,4,,,,
H12P1,At,Dead,8.5,1,,,,
H12P1,At,Live,32,4,,,,
H12P1,At,Live,18.4,4,,,,
H12P1,At,Live,24,4,,,,
H12P1,At,Dead,58.3,1,,,,Broken top 3m
H12P1,At,Live,30.8,4,,,,
H12P1,At,Live,14.6,3,,,,
H12P1,Bl,Dead,15.3,1,,,,
H12P1,Sx,Live,30.2,4,,,,
H12P1,Bl,Live,14.2,4,,,,
H12P1,Bl,Live,7.7,3,,,,
H12P1,Bl,Live,17.1,4,,,,
H12P1,Bl,Live,8.9,4,,,,
H12P1,Bl,Live,10.7,4,,,,
H12P1,At,Live,40.2,4,,,,
H12P1,At,Live,15.2,4,,,,
H12P1,Sx,Live,17.7,4,,,,
H12P1,Bl,Live,17.6,4,,,,
H12P1,Bl,Live,11.3,4,,,,
H12P1,Sx,Live,18.7,4,,,,
H12P1,Bl,Live,8.7,3,,,,
H12P1,Sx,Live,20.5,4,,,,
H12P1,Bl,Live,12.1,4,,,,
H12P1,At,Dead,13.2,1,,,,Broken at 1.7m
H12P1,Sx,Live,11,4,,,,
H12P1,Bl,Live,15.2,4,,,,
H12P1,Sx,Live,25.9,4,,,,
H12P1,Sx,Live,30.4,4,,,,
H12P1,Sx,Dead,11.5,1,,,,
H12P1,Sx,Live,14.1,4,,,,
H12P1,Bl,Live,14.9,3,,,,
H12P1,Bl,Dead,15.3,1,,,,Broken top at 9m
H12P1,Bl,Live,17,4,,,,
H12P1,Bl,Live,9.6,4,,,,
H12P1,Bl,Live,9.2,4,,,,
H12P1,Bl,Live,16.2,4,,,,
H12P1,Bl,Live,9.9,4,,,,
H12P1,Bl,Live,22.9,4,,,,
H12P1,Bl,Live,8.7,3,,,,
H12P1,Bl,Live,15.2,4,,,,
H12P1,Bl,Live,8.7,4,,,,
H12P1,Bl,Live,10.3,4,,,,
H12P1,Bl,Live,10.7,4,,,,
