Plot.id,Species,Status,DBH,Crown Class,Height,Age,Code,Comments
H14P2,Bl,Live,20.5,3,,,,
H14P2,Sx,Live,8.5,4,,,,
H14P2,Bl,Dead,26.2,1,,,,
H14P2,Bl,Live,7.5,4,,,,
H14P2,Bl,Dead,13.5,1,,,,Broken top at 8m height
H14P2,Fd,Live,28.8,4,,,,
H14P2,Bl,Dead,27.2,1,,,,
H14P2,Sx,Live,33,4,25.7,61,H14P2SIT1,"H14P2SIT1, out of plot"
H14P2,Bl,Live,23,4,,,,
H14P2,Sx,Live,17.7,4,,,,
H14P2,Sx,Live,8.8,3,,,,
H14P2,Sx,Live,32.8,3,,,,
H14P2,Sx,Live,29.8,3,,,,
H14P2,Fd,Live,39.7,4,,,,
H14P2,Bl,Live,15.1,3,,,,
H14P2,Sx,Live,35.4,4,,,,
H14P2,Sx,Live,31.6,4,,,,
H14P2,Bl,Dead,30.1,1,,,,
H14P2,Bl,Live,27.3,4,,,,
H14P2,Sx,Live,29.5,4,,,,
H14P2,Sx,Live,27,4,,,,
H14P2,Bl,Live,26.7,4,,,,
H14P2,Bl,Dead,25.7,1,,,,
H14P2,Bl,Live,9.8,2,,,,
H14P2,Sx,Live,7.9,3,,,,
H14P2,Bl,Live,23.5,4,,,,
H14P2,Sx,Live,27.8,4,,,,
