Plot.id,Species,Status,DBH,Crown Class,Height,Age,Code,Comments
H11P1,Bl,Dead,25.6,1,,,,
H11P1,Bl,Live,49.6,1,,,,
H11P1,Bl,Dead,7.8,1,,,,
H11P1,Bl,Live,33.5,4,,,,
H11P1,Bl,Dead,28.1,1,,,,
H11P1,Bl,Live,23.9,4,,,,
H11P1,Sx,Live,18.5,4,,,,
H11P1,Sx,Live,7.9,3,,,,
H11P1,Sx,Live,17.7,4,,,,
H11P1,Sx,Live,37.2,4,24.9,55,H11P1SIT1,"H11P1SIT1, IN"
H11P1,Bl,Live,41,4,,,,
H11P1,Sx,Live,13.3,4,,,,
H11P1,Sx,Live,16.9,4,,,,
H11P1,Bl,Dead,10.8,1,,,,Broken top at 4m
H11P1,Bl,Live,8.5,4,,,,
H11P1,Bl,Live,20.9,4,,,,
H11P1,Sx,Live,10.2,4,,,,
H11P1,Sx,Live,29.5,4,,,,
H11P1,D,Live,7.5,4,,,,
H11P1,D,Dead,10.7,1,,,,
H11P1,D,Live,8.4,4,,,,
H11P1,Bl,Live,12.5,4,,,,
H11P1,Sx,Live,9.3,4,,,,
H11P1,Ep,Live,34.5,4,,,,
H11P1,Sx,Live,9.5,4,,,,
H11P1,Bl,Live,28.2,4,,,,
H11P1,Bl,Live,11.7,3,,,,
H11P1,Bl,Dead,33.2,1,,,,
