Plot.id,Species,Status,DBH,Crown Class,Height,Age,Code,Comments
H4P6,Sx,Live,35.6,4,26.3,59,H4P6SIT1,
H4P6,Ep,Live,18.9,4,,,,
H4P6,Bl,Live,16.9,4,,,,
H4P6,Bl,Live,8.5,3,,,,
H4P6,Bl,Dead,13.9,1,,,,
H4P6,Ep,Live,12.8,4,,,,
H4P6,Ep,Live,14.5,4,,,,
H4P6,Ep,Live,17.7,4,,,,
H4P6,Ep,Dead,14,1,,,,
H4P6,Ep,Live,28.1,4,,,,
H4P6,Sx,Live,9.8,3,,,,
H4P6,Ep,Live,24.1,4,,,,
H4P6,Ep,Live,35.5,4,,,,
H4P6,Sx,Live,13.3,4,,,,
H4P6,Ep,Live,12.9,4,,,,
H4P6,Bl,Live,18.3,4,,,,
H4P6,Ep,Live,14.6,4,,,,
H4P6,Ep,Live,26.7,4,,,,
H4P6,Ep,Live,15,4,,,,
H4P6,Bl,Live,10.7,4,,,,
H4P6,Bl,Live,16.1,4,,,,
H4P6,Ep,Live,9.2,4,,,,
H4P6,Ep,Live,28.2,4,,,,
H4P6,Ep,Live,13.5,3,,,,Tree bent over
H4P6,Bl,Dead,15.8,1,,,,Broken top at 2.5m
H4P6,Ep,Live,44.1,4,,,,
H4P6,Bl,Live,15.8,4,,,,
H4P6,Bl,Live,18.1,4,,,,
H4P6,Bl,Live,14.5,4,,,,
H4P6,Bl,Live,10.2,4,,,,
H4P6,Sx,Live,25.3,4,,,,
H4P6,Ep,Dead,19,1,,,,
H4P6,Ep,Live,16.4,4,,,,
H4P6,Bl,Live,9,3,,,,
H4P6,Sx,Live,10.2,4,,,,
H4P6,Ep,Live,17.9,4,,,,
H4P6,Ep,Live,10.2,3,,,,
H4P6,Ep,Live,26.2,4,,,,
H4P6,Bl,Live,12.4,4,,,,
H4P6,Sx,Live,47.5,4,,,,
H4P6,Ep,Live,23.6,4,,,,
H4P6,Ep,Live,9.9,3,,,,
