Plot.id,Species,Status,DBH,Crown Class,Height,Age,Code,Comments
H20P3,Bl,Live,19.2,4,,,,
H20P3,Bl,Live,12.6,4,,,,
H20P3,Sx,Live,20.9,4,,,,
H20P3,Sx,Live,9.4,4,,,,
H20P3,Sx,Live,7.6,4,,,,
H20P3,Sx,Live,70,4,,,,
H20P3,Bl,Live,10.5,4,,,,
H20P3,Bl,Live,11.5,3,,,,
H20P3,Bl,Live,10.8,4,,,,
H20P3,Sx,Live,9.4,3,,,,
H20P3,Bl,Live,15.8,4,,,,
H20P3,Bl,Live,9.5,3,,,,
H20P3,Bl,Dead,12,1,,,,
H20P3,Sx,Live,21.7,4,,,,
H20P3,Bl,Live,8.4,4,,,,
H20P3,Bl,Dead,50.5,1,,,,Broken top at 15m
H20P3,Sx,Live,7.9,4,,,,
H20P3,Sx,Live,25.1,3,,,,
H20P3,Sx,Live,29,4,20.6,48,H20P3SIT1,H20P3SIT1. OUT
H20P3,Sx,Live,18,4,,,,
H20P3,Sx,Live,8.1,3,,,,
H20P3,Sx,Live,9.4,4,,,,
H20P3,Sx,Live,26.2,4,,,,
H20P3,Bl,Live,11.6,4,,,,
H20P3,Bl,Live,27.7,4,,,,
H20P3,Sx,Live,19.4,4,,,,
H20P3,Sx,Live,7.6,4,,,,
H20P3,Bl,Live,7.6,4,,,,
H20P3,Bl,Live,19.5,4,,,,
H20P3,Bl,Live,37,4,,,,
H20P3,Bl,Live,8,4,,,,
H20P3,Sx,Dead,44.3,1,,,,
H20P3,Bl,Live,13.1,4,,,,
H20P3,Bl,Live,9.6,4,,,,
H20P3,Bl,Live,7.7,4,,,,
H20P3,Bl,Dead,12.2,1,,,,Break at 15m
H20P3,Sx,Live,39.8,4,,,,
H20P3,Bl,Live,12.9,4,,,,
H20P3,Bl,Live,14.2,3,,,,
H20P3,Sx,Live,60,4,,,,
H20P3,Sx,Live,15.4,4,,,,
H20P3,Bl,Live,11.5,4,,,,
H20P3,Bl,Live,21.7,4,,,,
H20P3,Bl,Live,16,4,,,,
