Plot.id,Species,Status,DBH,Crown Class,Height,Age,Code,Comments
H18P9,Ep,Live,40.6,4,,,,
H18P9,Bl,Dead,44.7,1,,,,
H18P9,Sx,Live,18.9,4,,,,
H18P9,Bl,Dead,33.3,1,,,,
H18P9,Sx,Live,20,4,,,,
H18P9,D,Live,9.5,4,,,,
H18P9,Sx,Live,12.4,4,,,,
H18P9,Sx,Live,11.2,4,,,,
H18P9,D,Live,9.9,4,,,,
H18P9,D,Live,9.5,4,,,,
H18P9,Bl,Dead,10.3,1,,,,
H18P9,Sx,Live,8,4,,,,
H18P9,Sx,Live,30.2,4,,,,
H18P9,Sx,Live,59.5,4,,,,
H18P9,Bl,Live,9.2,4,,,,
H18P9,Bl,Live,15.5,4,,,,
H18P9,Bl,Live,9.2,4,,,,
H18P9,Bl,Live,15.8,4,,,,
H18P9,Sx,Live,15.5,4,,,,
H18P9,Sx,Live,19.1,3,,,,
H18P9,D,Live,8.6,3,,,,
H18P9,Sx,Live,41.4,4,26.7,61,H18P9SIT1,OUT; SIT1
