Plot.id,Species,Status,DBH,Crown Class,Height,Age,Code,Comments
H20P1,Bl,Live,20.9,3,,,,
H20P1,Sx,Live,21.3,4,,,,
H20P1,Bl,Live,32,4,,,,
H20P1,Sx,Live,32.7,4,,,,
H20P1,Bl,Live,13.2,3,,,,
H20P1,Bl,Live,8.9,2,,,,
H20P1,Bl,Live,13.6,3,,,,
H20P1,Sx,Live,31.4,4,,,,
H20P1,Sx,Live,38.5,4,,,,
H20P1,Bl,Dead,13.2,1,,,,
H20P1,Sx,Live,39.2,4,,,,
H20P1,Sx,Live,25.1,4,,,,
H20P1,Bl,Live,10.3,3,,,,
H20P1,Sx,Live,29.2,4,,,,
H20P1,Bl,Dead,7.9,1,,,,
H20P1,Bl,Dead,11.2,1,,,,Broken top at 6m
H20P1,Bl,Live,13.2,2,,,,
H20P1,Bl,Dead,8.2,1,,,,
H20P1,Ep,Live,9.9,4,,,,
H20P1,Ep,Live,12.6,4,,,,
H20P1,Sx,Live,21.4,4,,,,
H20P1,Bl,Live,33,4,,,,
H20P1,Bl,Dead,12.2,1,,,,
H20P1,Sx,Live,37.2,4,28.2,60,H20P1SIT1,Out. H20P1SIT1
H20P1,Bl,Dead,11,1,,,,Broken top at 3m
H20P1,Sx,Dead,12.5,1,,,,Broken top at 4m
H20P1,Sx,Live,35.7,4,,,,
H20P1,Bl,Live,26.2,3,,,,
H20P1,Bl,Live,8,4,,,,
H20P1,Bl,Live,30.2,4,,,,
H20P1,Bl,Live,9.5,3,,,,
H20P1,Bl,Live,21.7,4,,,,
H20P1,Bl,Dead,7.7,1,,,,Broken 2.5m
H20P1,Ep,Live,24.5,4,,,,
H20P1,Ep,Live,30.2,4,,,,
H20P1,Sx,Live,7.7,4,,,,
H20P1,Bl,Live,11.8,3,,,,
H20P1,Bl,Dead,35.4,1,,,,
H20P1,Sx,Live,11.4,4,,,,
H20P1,Sx,Live,25.7,4,,,,
H20P1,Sx,Live,21.5,4,,,,
H20P1,Bl,Live,15.7,3,,,,
H20P1,Sx,Live,35.4,4,,,,
H20P1,Bl,Live,11.2,4,,,,
H20P1,D,Dead,10.5,1,,,,Broken 1.8m
H20P1,Sx,Live,13.2,4,,,,
H20P1,Bl,Dead,30.2,1,,,,
