Plot.id,Species,Status,DBH,Crown Class,Height,Age,Code,Comments
H14P1,Bl,Live,16.2,4,,,,
H14P1,Bl,Dead,39.5,1,,,,
H14P1,Bl,Live,7.7,3,,,,
H14P1,Bl,Live,16.7,4,,,,
H14P1,Bl,Live,21.1,4,,,,
H14P1,Bl,Dead,10.3,1,,,,
H14P1,Bl,Live,14.4,4,,,,
H14P1,Sx,Live,17.4,4,,,,
H14P1,Sx,Live,16.4,4,,,,
H14P1,Sx,Live,7.6,3,,,,
H14P1,Bl,Dead,14.3,1,,,,Broken top at 3m
H14P1,Sx,Live,13.5,4,,,,
H14P1,Bl,Live,18.2,4,,,,
H14P1,Bl,Live,7.6,4,,,,
H14P1,At,Live,17.4,3,,,,
H14P1,At,Live,26.1,4,,,,
H14P1,Bl,Live,11,4,,,,
H14P1,Bl,Live,32.6,3,,,,
H14P1,Sx,Live,50.1,4,,,,
H14P1,At,Live,28.8,4,,,,
H14P1,At,Dead,8,1,,,,Broken top at 3m
H14P1,At,Dead,11,1,,,,Broken top at 7m
H14P1,Sx,Live,16.9,4,,,,
H14P1,Sx,Live,10.1,4,,,,
H14P1,Sx,Live,12.8,4,,,,
H14P1,Sx,Live,26.8,4,,,,
H14P1,Bl,Dead,38.7,1,,,,
H14P1,Sx,Live,28.7,4,,,,
H14P1,Bl,Live,7.8,2,,,,
H14P1,Bl,Live,8,1,,,,
H14P1,Bl,Live,11.1,3,,,,
H14P1,Sx,Live,27.5,4,23.8,56,H14P1SIT1,Out H14P1SIT1
H14P1,Sx,Live,37.1,4,,,,
H14P1,Bl,Dead,15.1,1,,,,
H14P1,Bl,Dead,10,1,,,,
H14P1,Bl,Live,17,4,,,,
H14P1,Bl,Live,12.8,2,,,,
H14P1,Bl,Live,19.2,4,,,,
H14P1,Bl,Live,19.7,4,,,,
H14P1,Bl,Live,40,4,,,,
H14P1,Bl,Dead,29.3,1,,,,
H14P1,Sx,Live,54.2,4,,,,
H14P1,Bl,Live,19.1,4,,,,
