Plot.id,Species,Status,DBH,Crown Class,Height,Age,Code,Comments
H4P3,Sx,Live,33.8,4,25.4,50,H4P3SIT1,H4P3SIT1. Out of plot
H4P3,D,Dead,10,1,,,,
H4P3,Bl,Live,22.2,4,,,,
H4P3,Sx,Live,14.8,4,,,,
H4P3,Bl,Live,8.5,4,,,,
H4P3,Bl,Live,16.9,4,,,,
H4P3,D,Live,9.3,4,,,,
H4P3,D,Live,8.3,4,,,,
H4P3,Sx,Live,9.1,3,,,,
H4P3,Sx,Live,35.8,4,,,,
H4P3,Bl,Live,16.1,3,,,,
H4P3,Sx,Live,23.8,4,,,,
H4P3,Bl,Live,7.8,3,,,,
H4P3,Bl,Live,22.7,4,,,,
H4P3,Bl,Live,17.5,4,,,,
H4P3,Bl,Dead,8.5,1,,,,
H4P3,Sx,Live,74.8,4,,,,
H4P3,Bl,Live,9.7,4,,,,
H4P3,Sx,Live,37.7,4,,,,
H4P3,D,Dead,10.5,1,,,,Break a 1.8m
H4P3,Bl,Live,33.6,4,,,,
H4P3,Sx,Live,12.2,4,,,,
H4P3,Sx,Live,30,4,,,,
H4P3,Sx,Live,22.3,4,,,,
H4P3,Sx,Live,26.8,4,,,,
H4P3,Bl,Dead,9.5,1,,,,
H4P3,Sx,Live,16,4,,,,
H4P3,Bl,Live,15.5,4,,,,
H4P3,Sx,Live,34.7,4,,,,
H4P3,Sx,Live,8.9,3,,,,
H4P3,Sx,Live,20.3,4,,,,
H4P3,Sx,Live,14.2,3,,,,
H4P3,Bl,Live,29.1,4,,,,
H4P3,Bl,Live,13.3,4,,,,
H4P3,Bl,Dead,10.5,1,,,,
H4P3,Bl,Live,17.5,2,,,,
H4P3,Sx,Live,25,4,,,,
H4P3,Sx,Live,22.8,4,,,,
H4P3,Sx,Live,17.3,4,,,,
H4P3,Sx,Live,21.7,4,,,,
H4P3,Sx,Dead,11.8,1,,,,
H4P3,Sx,Live,14.8,4,,,,
H4P3,Bl,Dead,35.5,1,,,,
H4P3,D,Dead,15.9,1,,,,
H4P3,Sx,Live,9,3,,,,
H4P3,Sx,Live,33,4,,,,
H4P3,Sx,Live,13.2,3,,,,
