Plot.id,Species,Status,DBH,Crown Class,Height,Age,Code,Comments
H5P6,Sx,Live,29.4,4,22.5,55,H5P6SIT1,Out. H5P6SIT1
H5P6,Sx,Live,7.8,4,,,,
H5P6,D,Live,11,4,,,,
H5P6,Sx,Live,7.8,2,,,,
H5P6,Bl,Live,23.7,3,,,,
H5P6,Sx,Live,8.9,3,,,,
H5P6,Sx,Live,10.8,3,,,,
H5P6,D,Live,11.4,4,,,,
H5P6,Sx,Live,20.4,4,,,,
H5P6,Sx,Live,14.7,4,,,,
H5P6,Sx,Live,33.7,4,,,,
H5P6,Sx,Live,18.1,4,,,,
H5P6,D,Live,11.6,4,,,,
H5P6,D,Live,10.7,4,,,,
H5P6,Sx,Live,26.2,4,,,,
H5P6,Sx,Live,52,4,,,,
H5P6,D,Live,9,4,,,,
H5P6,Bl,Live,8.1,4,,,,
H5P6,Bl,Live,26.2,4,,,,
H5P6,D,Live,9.3,3,,,,
H5P6,Bl,Live,30.3,4,,,,
H5P6,Bl,Live,13.8,4,,,,
H5P6,Bl,Live,11.5,2,,,,
H5P6,Sx,Live,38.9,4,,,,
H5P6,Sx,Live,20,3,,,,
H5P6,D,Live,8.5,1,,,,
H5P6,Bl,Live,27.3,4,,,,
H5P6,Sx,Live,30.9,4,,,,
H5P6,Ep,Live,13,4,,,,
H5P6,D,Dead,7.5,1,,,,Broken top at 5m
H5P6,Ep,Live,39.8,4,,,,
H5P6,Sx,Live,60.5,4,,,,
H5P6,Bl,Live,9.8,4,,,,
H5P6,Bl,Live,9.6,4,,,,
H5P6,Bl,Dead,12.1,1,,,,
