Plot.id,Species,Status,DBH,Crown Class,Height,Age,Code,Comments
H12P7,Sx,Live,30.1,4,25.4,56,H12P7SIT1,H12P7SIT1. In
H12P7,Sx,Live,7.5,3,,,,
H12P7,Sx,Live,10.1,4,,,,
H12P7,Bl,Dead,17,1,,,,
H12P7,Bl,Dead,12.7,1,,,,
H12P7,Bl,Dead,25.1,1,,,,
H12P7,Sx,Live,19.8,4,,,,
H12P7,Sx,Live,38,4,,,,
H12P7,Sx,Live,10.4,3,,,,
H12P7,Bl,Live,8.8,4,,,,
H12P7,Bl,Live,24.5,4,,,,
H12P7,Bl,Dead,30.7,1,,,,
H12P7,Sx,Live,8.8,4,,,,
H12P7,Bl,Live,25.5,4,,,,
H12P7,Bl,Dead,37,1,,,,
H12P7,Bl,Live,35.4,4,,,,
H12P7,Bl,Dead,30,1,,,,
H12P7,Sx,Live,27.2,4,,,,
H12P7,Bl,Dead,15.6,1,,,,
H12P7,Bl,Live,37.7,2,,,,
H12P7,Sx,Live,26.4,4,,,,
H12P7,Bl,Live,15,4,,,,
H12P7,Bl,Live,10.4,4,,,,
H12P7,Sx,Live,28.7,4,,,,
H12P7,Bl,Live,21.7,4,,,,
H12P7,Sx,Live,34.1,4,,,,
H12P7,Sx,Live,35.2,4,,,,
H12P7,Sx,Dead,8.2,1,,,,Broken 1.6m
H12P7,Sx,Live,12.5,3,,,,
H12P7,Bl,Dead,30.9,1,,,,
H12P7,Sx,Live,35,4,,,,
H12P7,Bl,Live,9,4,,,,
H12P7,Sx,Live,10.1,3,,,,
H12P7,Sx,Live,17.5,4,,,,
H12P7,Bl,Live,27.1,3,,,,
H12P7,Bl,Dead,20.3,1,,,,
