Plot.id,Species,Status,DBH,Crown Class,Height,Age,Code,Comments
H9P6,Bl,Live,8.1,4,,,,
H9P6,Bl,Live,7.7,4,,,,
H9P6,Bl,Live,10.2,4,,,,
H9P6,Bl,Live,21.3,4,,,,
H9P6,Bl,Live,13.5,4,,,,
H9P6,Bl,Live,21.5,4,,,,
H9P6,Bl,Dead,10.4,1,,,,
H9P6,Bl,Live,23.1,4,,,,
H9P6,Bl,Live,12.1,3,,,,
H9P6,Bl,Live,27,3,,,,
H9P6,Bl,Live,8.2,4,,,,
H9P6,Bl,Live,40.9,4,,,,
H9P6,Bl,Live,16,4,,,,
H9P6,Bl,Live,10.1,2,,,,
H9P6,Bl,Live,9,4,,,,
H9P6,Bl,Live,11.6,4,,,,
H9P6,At,Live,24.6,4,,,,
H9P6,Sx,Live,25.1,4,,,,
H9P6,Bl,Live,9.5,4,,,,
H9P6,Sx,Live,22.1,4,,,,
H9P6,Bl,Live,13.6,4,,,,
H9P6,Sx,Live,24.1,4,,,,
H9P6,Bl,Dead,44.7,1,,,,
H9P6,Bl,Live,38.4,1,,,,
H9P6,Bl,Dead,20.7,1,,,,Broken top at 15m
H9P6,Bl,Dead,20.4,1,,,,
H9P6,Bl,Live,8.1,2,,,,
H9P6,Bl,Live,8.7,4,,,,
H9P6,Sx,Live,18.5,4,,,,
H9P6,Sx,Live,16.7,4,,,,
H9P6,Sx,Live,10,2,,,,
H9P6,Sx,Live,18.4,4,,,,
H9P6,Sx,Live,13.9,3,,,,
H9P6,Sx,Live,38,4,,,,
H9P6,Bl,Live,41.8,2,,,,
H9P6,Bl,Dead,17.2,1,,,,
H9P6,Bl,Dead,14.9,1,,,,
H9P6,Sx,Live,22.7,4,,,,
H9P6,Bl,Live,31.3,4,,,,
H9P6,Bl,Live,22.7,4,,,,
H9P6,Bl,Live,10.3,3,,,,
H9P6,Bl,Live,11.1,3,,,,
H9P6,Bl,Live,22.6,4,,,,
H9P6,Bl,Live,8.7,2,,,,
H9P6,Bl,Live,25.7,4,,,,
H9P6,Bl,Live,16.2,4,,,,
H9P6,Bl,Live,7.7,4,,,,
H9P6,Bl,Live,9.3,4,,,,
H9P6,Sx,Live,63.5,4,,,,
H9P6,At,Live,11.9,4,,,,
H9P6,At,Dead,68.5,1,,,,
H9P6,Bl,Live,25.7,4,,,,
H9P6,Bl,Live,9.3,3,,,,
H9P6,At,Live,18.7,4,,,,
H9P6,Bl,Live,14.8,3,,,,
