Plot.id,Species,Status,DBH,Crown Class,Height,Age,Code,Comments
H8P4,Sx,Live,30.6,4,24.6,55,H8P4SIT1,H8P4SIT1; out
H8P4,Bl,Live,9.7,3,,,,
H8P4,Bl,Dead,31.6,1,,,,
H8P4,Bl,Live,10,1,,,,
H8P4,Bl,Live,36.9,4,,,,
H8P4,Ep,Live,24,4,,,,
H8P4,Ep,Live,14.5,4,,,,
H8P4,Fd,Live,68.3,4,,,,
H8P4,Sx,Live,21.2,4,,,,
H8P4,Sx,Live,11.3,4,,,,
H8P4,Ep,Live,13.2,4,,,,
H8P4,Sx,Live,13.5,4,,,,
H8P4,Sx,Live,24.8,4,,,,
H8P4,Ep,Live,13.8,4,,,,
H8P4,Sx,Live,10.6,4,,,,
H8P4,Bl,Live,26.3,4,,,,
H8P4,Bl,Live,29.5,4,,,,
H8P4,Bl,Live,36.3,4,,,,
H8P4,Bl,Live,38,4,,,,
H8P4,Ep,Live,27.5,4,,,,
H8P4,Bl,Live,25.2,4,,,,
H8P4,Sx,Live,8.9,4,,,,
H8P4,Ep,Live,8.9,3,,,,
H8P4,Sx,Live,18.1,4,,,,
H8P4,Sx,Live,8.4,4,,,,
H8P4,Sx,Live,10.7,3,,,,
H8P4,Ep,Live,18.1,4,,,,
H8P4,Ep,Live,22.6,4,,,,
H8P4,Bl,Live,17.1,4,,,,
H8P4,Bl,Live,28.1,4,,,,
H8P4,Bl,Live,34.1,4,,,,
H8P4,Sx,Live,8.4,2,,,,
H8P4,Ac,Live,24.8,4,,,,
H8P4,Ac,Live,22.2,4,,,,
H8P4,Sx,Live,23.3,4,,,,
H8P4,D,Dead,8.3,1,,,,
H8P4,Sx,Live,8.9,3,,,,
H8P4,Bl,Live,33.1,4,,,,
H8P4,Bl,Live,36,4,,,,
H8P4,Fd,Live,9.2,4,,,,
H8P4,Ep,Live,10.8,4,,,,
H8P4,Sx,Live,8.2,3,,,,
H8P4,Sx,Live,12.8,4,,,,
H8P4,Fd,Live,11.7,4,,,,
H8P4,Bl,Live,31,2,,,,
H8P4,Sx,Live,9.1,4,,,,
H8P4,Bl,Live,22.4,4,,,,
H8P4,Bl,Live,39,4,,,,
H8P4,Bl,Live,10.7,3,,,,
