Plot.id,Species,Status,DBH,Crown Class,Height,Age,Code,Comments
H9P1,Sx,Live,14.3,4,,,,
H9P1,Bl,Live,29.7,4,,,,
H9P1,Bl,Live,25.7,4,,,,
H9P1,Bl,Live,22.8,4,,,,
H9P1,Bl,Live,28.8,4,,,,
H9P1,Bl,Dead,30.9,1,,,,Broken at 1.7m
H9P1,Bl,Live,20.3,4,,,,
H9P1,Bl,Live,12.7,3,,,,
H9P1,Bl,Live,21.8,4,,,,
H9P1,Bl,Live,31.2,4,,,,
H9P1,Bl,Live,8,4,,,,
H9P1,Bl,Live,8,4,,,,
H9P1,Bl,Live,12.4,4,,,,
H9P1,Bl,Dead,16.5,1,,,,
H9P1,Bl,Live,12.3,3,,,,
H9P1,Sx,Dead,9.2,1,,,,Broken top at 2.5m
H9P1,Bl,Live,41.9,4,,,,
H9P1,Bl,Live,19.7,4,,,,
H9P1,Sx,Live,8.5,4,,,,
H9P1,Bl,Live,30.5,4,,,,
H9P1,Sx,Live,37.2,4,,,,
H9P1,Ep,Live,19.9,4,,,,
H9P1,Bl,Live,10,4,,,,
H9P1,Sx,Live,16.8,4,,,,
H9P1,Sx,Live,8.8,4,,,,
H9P1,Bl,Live,7.8,4,,,,
H9P1,Sx,Live,8,3,,,,
H9P1,Sx,Live,19.1,4,,,,
H9P1,Sx,Live,26.5,4,,,,
H9P1,Sx,Live,31.9,4,,,,
H9P1,Sx,Live,26,4,,,,
H9P1,Sx,Live,9.7,1,,,,
H9P1,Sx,Dead,8,1,,,,
H9P1,Sx,Live,9.5,4,,,,
H9P1,Sx,Live,37.1,4,,,,
H9P1,Sx,Live,29.2,4,,,,
H9P1,Sx,Live,40,4,27.7,55,H9P1SIT1,In. H9P1SIT1
H9P1,Bl,Dead,22.8,1,,,,
H9P1,Sx,Dead,18.5,1,,,,Broken top at 6m
H9P1,Sx,Live,46.2,4,,,,
