Plot.id,Species,Status,DBH,Crown Class,Height,Age,Code,Comments
H5P5,Sx,Live,26.1,4,27,55,H5P5SIT1,Out; H5P5SIT1
H5P5,Sx,Live,17.3,3,,,,
H5P5,Sx,Live,8.2,4,,,,
H5P5,Sx,Live,22,3,,,,
H5P5,Bl,Live,27.4,2,,,,
H5P5,Bl,Dead,17.3,1,,,,
H5P5,Bl,Live,23.5,3,,,,
H5P5,Bl,Dead,24.5,1,,,,
H5P5,Bl,Live,21.2,4,,,,
H5P5,Sx,Live,20.7,4,,,,
H5P5,Bl,Dead,20.3,1,,,,Broken top at 15m
H5P5,Sx,Live,15.5,3,,,,
H5P5,Bl,Live,11.1,4,,,,
H5P5,Ep,Live,45.7,4,,,,
H5P5,Sx,Live,9.6,4,,,,
H5P5,Bl,Live,22.4,1,,,,
H5P5,Bl,Live,14.8,4,,,,
H5P5,Ep,Live,35,4,,,,
H5P5,Sx,Live,33.6,3,,,,
H5P5,Bl,Dead,23.3,1,,,,
H5P5,Bl,Live,28.6,3,,,,
H5P5,Bl,Dead,24.1,1,,,,
H5P5,Bl,Live,26.7,2,,,,
H5P5,Bl,Live,8.6,4,,,,
H5P5,Bl,Live,29.1,4,,,,
H5P5,Ac,Dead,46,1,,,,Broken top at 5m
H5P5,Ac,Live,61.2,4,,,,
H5P5,Bl,Live,22.5,2,,,,
H5P5,Ac,Live,59,3,,,,
H5P5,Bl,Live,23.1,4,,,,
H5P5,Sx,Live,9.3,4,,,,
H5P5,Sx,Live,8.4,4,,,,
H5P5,Bl,Live,27.2,4,,,,
H5P5,Bl,Dead,16.1,1,,,,
H5P5,Bl,Live,19,3,,,,
H5P5,Sx,Live,11.4,4,,,,
H5P5,Ep,Live,17.4,4,,,,
H5P5,Bl,Live,12.1,4,,,,
H5P5,Bl,Live,20.8,4,,,,
