ec5_uuid,created_at,uploaded_at,title,X1_Establishing_a_new,lat_3_GPS_Location,long_3_GPS_Location,accuracy_3_GPS_Location,UTM_Northing_3_GPS_Location,UTM_Easting_3_GPS_Location,UTM_Zone_3_GPS_Location,X4_Hexagon_,X5_Plot_,X6_Elevation_m,X7_Slope___or_,X8_Aspect,X9_Slope_Position,X10_Surface_Shape,X11_Slope_Length,X12_Slope_Uniformity,X13_Slope_Continuity,X14_Photo__North,X15_Photo__East,X16_Photo__South,X17_Photo__West,X18_Photo__VegGround,X19_Photo__Overhead,X20_Additional_Commen,X22_Hexagon_,X23_Plot_,X24_Species,X25_If_other_fill_in,X26_Is_it_a_snag,X27_DBH_cm__tenth_dec,X28_Age_Taken,X29_If_age_is_taken_r,X30_For_tress_that_ar,X31_Tree_Class,X32_Live_crown_class,X33_Conk,X34_Blind_Conk,X35_Fork_Crook,X36_Scar,X37_Frost_Damage,X38_Mistletoe,X39_Rotten_Bark,X40_Dead_or_broken_to,X41_Insect_Damage,X42_Fire_Damage,X43_Down_Tree,X44_Additional_Commen,lat_46_399m_Plot_Centre_,long_46_399m_Plot_Centre_,accuracy_46_399m_Plot_Centre_,UTM_Northing_46_399m_Plot_Centre_,UTM_Easting_46_399m_Plot_Centre_,UTM_Zone_46_399m_Plot_Centre_,X47_Hexagon_,X48_Plot_,X49_399m_Plot,X51_Hexagon_,X52_Plot_,X53_Sub_Plot_,X54_Sapling_or_Regene,X55_Species,X56_If_other_fill_in,X57_Regeneration_Heig,X58_Tree_count_indivi,X59_Avg_DBH_Sapling_o,X60_Avg_Height_Saplin,X61_Additional_Commen,lat_63_CWD_POC_Location,long_63_CWD_POC_Location,accuracy_63_CWD_POC_Location,UTM_Northing_63_CWD_POC_Location,UTM_Easting_63_CWD_POC_Location,UTM_Zone_63_CWD_POC_Location,X64_Hexagon_,X65_Plot_,X66_Transect_,X67_Azimuth,X69_Hexagon_,X70_Plot_,X71_Transect_,X72_Position_along_tr,X73_Type_of_CWD,X74_If_other_and_it_i,X75_Species,X76_Decay_class,X77_DBH_at_transect_c,X78_Length_cm,X79_DBH_Left_cm__tent,X80_Distance_off_grou,X81_DBH_Right_cm__ten,X82_Distance_off_grou,X83_Tag_Id,X84_Additional_Commen
011a8441-b914-4b75-9cce-f703d8d525f6,2021-08-04T05:07:18.558Z,2021-08-04T05:27:38.000Z,1,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,NA,1,1,Sx: spruce hybrid,,Standing (Live),33.3,Yes,H1P1SIT1,32.3,5: Mature,3 (50-75% healthy),,,,,,,,,,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,
97c58340-f4d4-11eb-8b6b-43291cd259b0,2021-08-04T03:32:28.148Z,2021-08-04T05:44:50.000Z,1,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,NA,1,2,Sx: spruce hybrid,,Standing (Live),38.1,Yes,H1P2SIT1,24.2,2: Older immature - Suspect,4 (75-100% healthy),,,,1: Bottom 1/3 only,,,,,,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,
28ad60c8-6def-460f-a802-ccb38878e5d9,2021-07-29T22:20:09.261Z,2021-07-30T23:06:21.000Z,15,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,NA,15,2,Bl: subalpine fir,,Standing (Live),20,Yes,H15P2SIT3,21.2,1: Older Immature,4 (75-100% healthy),,,,,,,,,,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,
184c9e34-5939-40c1-a3e4-f1d438c1db19,2021-07-29T22:17:53.496Z,2021-07-30T23:06:19.000Z,15,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,NA,15,2,Sx: spruce hybrid,,Standing (Live),29.2,Yes,H15P2SIT1,25.4,8: Younger immature,4 (75-100% healthy),,,,,,,,,,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,
07fdfdad-db74-46fb-a9c0-a6fa9cc0008d,2021-07-29T22:12:29.941Z,2021-07-30T23:06:17.000Z,15,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,NA,15,2,Fd: douglas-fir,,Standing (Live),22.2,,,NA,8: Younger immature,4 (75-100% healthy),,,2: Middle 1/3 only,,,,,,,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,
8267d01d-4feb-4aa2-ab5f-c620bf8de73d,2021-07-29T22:10:45.872Z,2021-07-30T23:06:15.000Z,15,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,NA,15,2,Bl: subalpine fir,,Snag (Dead) (45-90%) ,22.2,,,NA,3: Older Immature. Dead Potential,1 (0-25% healthy),,,2: Middle 1/3 only,1: Bottom 1/3 only,1: Bottom 1/3 only,,,,,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,
b5f070e4-b406-4d8a-895a-933b448f1d26,2021-07-29T22:07:36.516Z,2021-07-30T23:06:13.000Z,15,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,NA,15,2,Bl: subalpine fir,,Standing (Live),19.1,,,NA,2: Older immature - Suspect,4 (75-100% healthy),,,,,,,,,,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,
93a7e2d5-8c0a-43d0-86ac-da63bb23330b,2021-07-29T22:05:40.032Z,2021-07-30T23:06:11.000Z,15,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,NA,15,2,Sx: spruce hybrid,,Standing (Live),13.6,,,NA,8: Younger immature,4 (75-100% healthy),,,,,,,,,,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,
e463740d-8931-49db-852e-c4a4002db747,2021-07-29T22:04:05.206Z,2021-07-30T23:06:09.000Z,15,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,NA,15,2,Bl: subalpine fir,,Standing (Live),19.9,,,NA,8: Younger immature,4 (75-100% healthy),,,,,,,,,,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,
d7218a6c-54af-4a65-84c9-3260fc13ec9f,2021-07-29T22:03:05.326Z,2021-07-30T23:06:07.000Z,15,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,NA,15,2,Bl: subalpine fir,,Standing (Live),17.3,,,NA,1: Older Immature,4 (75-100% healthy),,,,,,,,,,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,
a91609c5-8031-4d5c-9052-b26880e4477f,2021-07-29T22:01:03.625Z,2021-07-30T23:06:05.000Z,15,"No, 11.28m Plot - Core Tree collection",NA,NA,NA,NA,NA,,NA,NA,NA,NA,,,,,,,,,,,,,NA,15,2,Bl: subalpine fir,,Snag (Dead) (45-90%) ,11.2,,,NA,9: Younger immature - Dead potential,1 (0-25% healthy),,,,,,,,3: Top 1/3 only,,NA,,,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,,,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,,NA,,,NA,NA,NA,NA,NA,NA,NA,
