ec5_uuid,created_at,uploaded_at,title,1_Establishing_a_new,lat_3_GPS_Location,long_3_GPS_Location,accuracy_3_GPS_Location,UTM_Northing_3_GPS_Location,UTM_Easting_3_GPS_Location,UTM_Zone_3_GPS_Location,4_Hexagon_,5_Plot_,6_Elevation_m,7_Slope___or_,8_Aspect,9_Slope_Position,10_Surface_Shape,11_Slope_Length,12_Slope_Uniformity,13_Slope_Continuity,14_Photo__North,15_Photo__East,16_Photo__South,17_Photo__West,18_Photo__VegGround,19_Photo__Overhead,20_Additional_Commen,22_Hexagon_,23_Plot_,24_Species,25_If_other_fill_in,26_Is_it_a_snag,27_DBH_cm__tenth_dec,28_Age_Taken,29_If_age_is_taken_r,30_For_tress_that_ar,31_Tree_Class,32_Live_crown_class,33_Conk,34_Blind_Conk,35_Fork_Crook,36_Scar,37_Frost_Damage,38_Mistletoe,39_Rotten_Bark,40_Dead_or_broken_to,41_Insect_Damage,42_Fire_Damage,43_Down_Tree,44_Additional_Commen,lat_46_399m_Plot_Centre_,long_46_399m_Plot_Centre_,accuracy_46_399m_Plot_Centre_,UTM_Northing_46_399m_Plot_Centre_,UTM_Easting_46_399m_Plot_Centre_,UTM_Zone_46_399m_Plot_Centre_,47_Hexagon_,48_Plot_,49_399m_Plot,51_Hexagon_,52_Plot_,53_Sub_Plot_,54_Sapling_or_Regene,55_Species,56_If_other_fill_in,57_Regeneration_Heig,58_Tree_count_indivi,59_Avg_DBH_Sapling_o,60_Avg_Height_Saplin,61_Additional_Commen,lat_63_CWD_POC_Location,long_63_CWD_POC_Location,accuracy_63_CWD_POC_Location,UTM_Northing_63_CWD_POC_Location,UTM_Easting_63_CWD_POC_Location,UTM_Zone_63_CWD_POC_Location,64_Hexagon_,65_Plot_,66_Transect_,67_Azimuth,69_Hexagon_,70_Plot_,71_Transect_,72_Position_along_tr,73_Type_of_CWD,74_If_other_and_it_i,75_Species,76_Decay_class,77_DBH_at_transect_c,78_Length_cm,79_DBH_Left_cm__tent,80_Distance_off_grou,81_DBH_Right_cm__ten,82_Distance_off_grou,83_Tag_Id,84_Additional_Commen
011a8441-b914-4b75-9cce-f703d8d525f6,2021-08-04T05:07:18.558Z,2021-08-04T05:27:38.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,1,"Sx: spruce hybrid",,"Standing (Live)",33.3,Yes,H1P1SIT1,32.3,"5: Mature","3 (50-75% healthy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97c58340-f4d4-11eb-8b6b-43291cd259b0,2021-08-04T03:32:28.148Z,2021-08-04T05:44:50.000Z,1,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,1,2,"Sx: spruce hybrid",,"Standing (Live)",38.1,Yes,H1P2SIT1,24.2,"2: Older immature - Suspect","4 (75-100% healthy)",,,,"1: Bottom 1/3 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28ad60c8-6def-460f-a802-ccb38878e5d9,2021-07-29T22:20:09.261Z,2021-07-30T23:06:21.000Z,15,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,15,2,"Bl: subalpine fir",,"Standing (Live)",20,Yes,H15P2SIT3,21.2,"1: Older Immature","4 (75-100% healthy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184c9e34-5939-40c1-a3e4-f1d438c1db19,2021-07-29T22:17:53.496Z,2021-07-30T23:06:19.000Z,15,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,15,2,"Sx: spruce hybrid",,"Standing (Live)",29.2,Yes,H15P2SIT1,25.4,"8: Younger immature","4 (75-100% healthy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07fdfdad-db74-46fb-a9c0-a6fa9cc0008d,2021-07-29T22:12:29.941Z,2021-07-30T23:06:17.000Z,15,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,15,2,"Fd: douglas-fir",,"Standing (Live)",22.2,,,,"8: Younger immature","4 (75-100% healthy)",,,"2: Middle 1/3 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8267d01d-4feb-4aa2-ab5f-c620bf8de73d,2021-07-29T22:10:45.872Z,2021-07-30T23:06:15.000Z,15,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,15,2,"Bl: subalpine fir",,"Snag (Dead) (45-90%) ",22.2,,,,"3: Older Immature. Dead Potential","1 (0-25% healthy)",,,"2: Middle 1/3 only","1: Bottom 1/3 only","1: Bottom 1/3 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b5f070e4-b406-4d8a-895a-933b448f1d26,2021-07-29T22:07:36.516Z,2021-07-30T23:06:13.000Z,15,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,15,2,"Bl: subalpine fir",,"Standing (Live)",19.1,,,,"2: Older immature - Suspect","4 (75-100% healthy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93a7e2d5-8c0a-43d0-86ac-da63bb23330b,2021-07-29T22:05:40.032Z,2021-07-30T23:06:11.000Z,15,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,15,2,"Sx: spruce hybrid",,"Standing (Live)",13.6,,,,"8: Younger immature","4 (75-100% healthy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e463740d-8931-49db-852e-c4a4002db747,2021-07-29T22:04:05.206Z,2021-07-30T23:06:09.000Z,15,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,15,2,"Bl: subalpine fir",,"Standing (Live)",19.9,,,,"8: Younger immature","4 (75-100% healthy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
d7218a6c-54af-4a65-84c9-3260fc13ec9f,2021-07-29T22:03:05.326Z,2021-07-30T23:06:07.000Z,15,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,15,2,"Bl: subalpine fir",,"Standing (Live)",17.3,,,,"1: Older Immature","4 (75-100% healthy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a91609c5-8031-4d5c-9052-b26880e4477f,2021-07-29T22:01:03.625Z,2021-07-30T23:06:05.000Z,15,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,15,2,"Bl: subalpine fir",,"Snag (Dead) (45-90%) ",11.2,,,,"9: Younger immature - Dead potential","1 (0-25% healthy)",,,,,,,,"3: Top 1/3 only",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7922d57c-03fa-4301-8055-329efa56a9ff,2021-07-29T21:58:34.771Z,2021-07-30T23:06:03.000Z,15,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,15,2,"Sx: spruce hybrid",,"Standing (Live)",32.7,Yes,H15P2SIT2,23,"8: Younger immature","4 (75-100% healthy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ed29040-915c-46c3-aa1d-444e2d91381e,2021-07-29T21:56:48.302Z,2021-07-30T23:06:01.000Z,15,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,15,2,"Bl: subalpine fir",,"Standing (Live)",22.3,Yes,H15P2SIT4,22.5,"8: Younger immature","4 (75-100% healthy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6cc98c39-663e-4453-a884-129d61c4bca0,2021-07-29T21:53:44.047Z,2021-07-30T23:05:59.000Z,15,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,15,2,"Ep: paper birch",,"Standing (Live)",16,,,,"1: Older Immature","4 (75-100% healthy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
968ebcba-c849-4901-8f4c-ed03e024b06a,2021-07-29T21:52:13.246Z,2021-07-30T23:05:57.000Z,15,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,15,2,"Bl: subalpine fir",,"Standing (Live)",10.7,,,,"8: Younger immature","4 (75-100% healthy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e31fcf88-08df-4bf6-9d8f-b8f641e0469c,2021-07-29T21:50:59.218Z,2021-07-30T23:05:55.000Z,15,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,15,2,"Bl: subalpine fir",,"Standing (Live)",14.8,,,,"8: Younger immature","4 (75-100% healthy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286e59aa-e08c-4522-873e-473017885188,2021-07-29T21:49:14.718Z,2021-07-30T23:05:53.000Z,15,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,15,2,"Sx: spruce hybrid",,"Standing (Live)",15.2,,,,"8: Younger immature","4 (75-100% healthy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317f3e6e-d7b9-4227-b2bd-b1ad02e27e12,2021-07-29T21:47:54.747Z,2021-07-30T23:05:51.000Z,15,"No, 11.28m Plot - Core Tree collection",,,,,,,,,,,,,,,,,,,,,,,,15,2,"Sx: spruce hybrid",,"Standing (Live)",58.3,,,,"5: Mature","4 (75-100% healthy)",,,,"4: Bottom and middle",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
