"","plot.id","Hexagon","Plot","Species1","Height","DBH","SPHt","BAt","BA.ha"
"164","H1P1","1","1","Bl",NA,9.9,25,0.00769768739945839,0.19244218498646
"165","H1P1","1","1","Ac",NA,54.1,25,0.229871119861329,5.74677799653321
"166","H1P1","1","1","Ac",NA,78.5,25,0.483981983239593,12.0995495809898
"167","H1P1","1","1","Ac",NA,54.1,25,0.229871119861329,5.74677799653321
"168","H3P1","3","1","Bl",NA,15.4,25,0.0186265028431339,0.465662571078347
"169","H3P1","3","1","Bl",NA,12.1,25,0.011499014510302,0.287475362757551
"170","H3P1","3","1","Bl",NA,19.2,25,0.0289529178954835,0.723822947387088
"171","H3P1","3","1","Bl",NA,10.5,25,0.00865901475145687,0.216475368786422
"172","H3P1","3","1","Bl",NA,15.4,25,0.0186265028431339,0.465662571078347
"173","H3P1","3","1","Bl",NA,16.4,25,0.0211240690027378,0.528101725068444
"174","H3P1","3","1","Bl",NA,18.8,25,0.0277591126871194,0.693977817177985
"175","H3P1","3","1","Sx",NA,12.5,25,0.0122718463030851,0.306796157577128
"176","H3P1","3","1","Bl",NA,29.5,25,0.0683492751696629,1.70873187924157
"177","H3P1","3","1","Bl",NA,9.5,25,0.00708821842466197,0.177205460616549
"178","H3P1","3","1","Bl",NA,18.5,25,0.0268802521422777,0.672006303556942
"179","H3P1","3","1","Sx",NA,21.7,25,0.0369836141162224,0.924590352905561
"180","H3P1","3","1","Bl",NA,19.1,25,0.0286521103989023,0.716302759972558
"181","H3P1","3","1","Bl",NA,9,25,0.00636172512351933,0.159043128087983
"182","H3P1","3","1","Bl",NA,14.6,25,0.01674154725098,0.4185386812745
"183","H3P1","3","1","Bl",NA,21.2,25,0.0352989350557349,0.882473376393373
"184","H3P1","3","1","Bl",NA,13.8,25,0.014957122623741,0.373928065593525
"185","H3P1","3","1","Sx",NA,16.5,25,0.0213824649984955,0.534561624962388
"186","H3P1","3","1","Bl",NA,13.9,25,0.0151746779150021,0.379366947875053
"187","H3P1","3","1","Bl",NA,10.3,25,0.00833228911548353,0.208307227887088
"188","H3P1","3","1","Bl",NA,13.5,25,0.0143138815279185,0.357847038197962
"189","H3P1","3","1","Bl",NA,10.3,25,0.00833228911548353,0.208307227887088
"190","H3P1","3","1","Sx",NA,8.8,25,0.00608212337734984,0.152053084433746
"191","H3P1","3","1","Bl",NA,24,25,0.045238934211693,1.13097335529233
"192","H3P1","3","1","Bl",NA,11.8,25,0.0109358840271461,0.273397100678652
"193","H3P1","3","1","Bl",NA,16.3,25,0.0208672438033068,0.52168109508267
"194","H3P1","3","1","Bl",NA,14.7,25,0.0169716689128555,0.424291722821386
"195","H3P1","3","1","Bl",NA,13.1,25,0.0134782178820636,0.33695544705159
"196","H3P1","3","1","Ep",NA,23.3,25,0.0426384808926841,1.0659620223171
"197","H3P1","3","1","Bl",NA,26.7,25,0.0559902496704407,1.39975624176102
"198","H3P1","3","1","Sx",NA,26.6,25,0.0555716324493499,1.38929081123375
"199","H3P1","3","1","Bl",NA,10.2,25,0.00817128249198705,0.204282062299676
"200","H3P1","3","1","Sx",NA,33.1,25,0.0860490081799878,2.1512252044997
"201","H3P1","3","1","Bl",NA,17.2,25,0.0232352192659501,0.580880481648753
"202","H3P1","3","1","Sx",NA,18.9,25,0.0280552077947202,0.701380194868006
"203","H3P1","3","1","Sx",NA,15.5,25,0.0188691908756237,0.471729771890592
"204","H3P1","3","1","Bl",NA,17.7,25,0.0246057390610787,0.615143476526966
"205","H3P1","3","1","Bl",NA,15.9,25,0.0198556509688509,0.496391274221272
"206","H3P1","3","1","Sx",NA,18.1,25,0.0257304292310638,0.643260730776595
"207","H3P1","3","1","Bl",NA,22.5,25,0.0397607820219958,0.994019550549896
"208","H3P1","3","1","Bl",NA,16.8,25,0.0221670777637296,0.55417694409324
"209","H3P1","3","1","Bl",NA,19.4,25,0.0295592452776264,0.738981131940659
"210","H3P1","3","1","Bl",NA,12.9,25,0.0130698108370969,0.326745270927423
"211","H3P1","3","1","Ep",NA,9.3,25,0.00679290871522453,0.169822717880613
"212","H3P1","3","1","Bl",NA,21.7,25,0.0369836141162224,0.924590352905561
"213","H3P1","3","1","Sx",NA,22.6,25,0.0401149965936881,1.0028749148422
"214","H3P1","3","1","Bl",NA,19.6,25,0.0301718558450764,0.754296396126909
"215","H3P1","3","1","Bl",NA,18.5,25,0.0268802521422777,0.672006303556942
"216","H3P1","3","1","Sx",NA,23.1,25,0.0419096313970512,1.04774078492628
"217","H3P1","3","1","Ep",NA,22.2,25,0.0387075630848798,0.967689077121996
"218","H3P1","3","1","Ep",NA,28.1,25,0.0620158243800259,1.55039560950065
"219","H3P1","3","1","Bl",NA,18,25,0.0254469004940773,0.636172512351933
